"geographicAreaFS","Geographic Area","measuredItemFS","Item","measuredElementFS","Element","timePointYears","Year","Value","Status"
2,"Afghanistan",867,"Beef and Veal",41,"Productivity Indicator",2010,2010,1799.94504,"C"
2,"Afghanistan",867,"Beef and Veal",41,"Productivity Indicator",2009,2009,1800,"C"
2,"Afghanistan",867,"Beef and Veal",41,"Productivity Indicator",2008,2008,1799.72937,"C"
2,"Afghanistan",867,"Beef and Veal",41,"Productivity Indicator",2007,2007,1800.02628,"C"
2,"Afghanistan",867,"Beef and Veal",41,"Productivity Indicator",2006,2006,1799.90793,"C"
2,"Afghanistan",867,"Beef and Veal",41,"Productivity Indicator",2005,2005,1799.7449,"C"
2,"Afghanistan",867,"Beef and Veal",41,"Productivity Indicator",2004,2004,1800.96502,"C"
2,"Afghanistan",867,"Beef and Veal",41,"Productivity Indicator",2003,2003,1800.26282,"C"
2,"Afghanistan",867,"Beef and Veal",41,"Productivity Indicator",2002,2002,1800.72029,"C"
2,"Afghanistan",867,"Beef and Veal",41,"Productivity Indicator",2001,2001,1800,"C"
2,"Afghanistan",867,"Beef and Veal",41,"Productivity Indicator",2000,2000,1800,"C"
2,"Afghanistan",867,"Beef and Veal",51,"Output",2013,2013,134000,
2,"Afghanistan",867,"Beef and Veal",51,"Output",2012,2012,139000,
2,"Afghanistan",867,"Beef and Veal",51,"Output",2011,2011,138000,
2,"Afghanistan",867,"Beef and Veal",51,"Output",2010,2010,131000,
2,"Afghanistan",867,"Beef and Veal",51,"Output",2009,2009,135000,
2,"Afghanistan",867,"Beef and Veal",51,"Output",2008,2008,133000,
2,"Afghanistan",867,"Beef and Veal",51,"Output",2007,2007,137000,
2,"Afghanistan",867,"Beef and Veal",51,"Output",2006,2006,117300,
2,"Afghanistan",867,"Beef and Veal",51,"Output",2005,2005,141100,
2,"Afghanistan",867,"Beef and Veal",51,"Output",2004,2004,149300,
2,"Afghanistan",867,"Beef and Veal",51,"Output",2003,2003,137000,
2,"Afghanistan",867,"Beef and Veal",51,"Output",2002,2002,150000,"*"
2,"Afghanistan",867,"Beef and Veal",51,"Output",2001,2001,108000,"*"
2,"Afghanistan",867,"Beef and Veal",51,"Output",2000,2000,126000,"*"
2,"Afghanistan",867,"Beef and Veal",141,"Food",2013,2013,139213,"B"
2,"Afghanistan",867,"Beef and Veal",141,"Food",2012,2012,153017,"B"
2,"Afghanistan",867,"Beef and Veal",141,"Food",2011,2011,139847,"B"
2,"Afghanistan",867,"Beef and Veal",141,"Food",2010,2010,132992,"B"
2,"Afghanistan",867,"Beef and Veal",141,"Food",2009,2009,136006,"B"
2,"Afghanistan",867,"Beef and Veal",141,"Food",2008,2008,133050,"B"
2,"Afghanistan",867,"Beef and Veal",141,"Food",2007,2007,137003,"B"
2,"Afghanistan",867,"Beef and Veal",141,"Food",2006,2006,117300,"B"
2,"Afghanistan",867,"Beef and Veal",141,"Food",2005,2005,141493,"B"
2,"Afghanistan",867,"Beef and Veal",141,"Food",2004,2004,149471,"B"
2,"Afghanistan",867,"Beef and Veal",141,"Food",2003,2003,137057,"B"
2,"Afghanistan",867,"Beef and Veal",141,"Food",2002,2002,150006,"B"
2,"Afghanistan",867,"Beef and Veal",141,"Food",2001,2001,108000,"B"
2,"Afghanistan",867,"Beef and Veal",141,"Food",2000,2000,126000,"B"
2,"Afghanistan",867,"Beef and Veal",141,"Food",1999,1999,149000,"B"
2,"Afghanistan",867,"Beef and Veal",141,"Food",1998,1998,171000,"B"
2,"Afghanistan",867,"Beef and Veal",141,"Food",1997,1997,156000,"B"
2,"Afghanistan",867,"Beef and Veal",141,"Food",1996,1996,143000,"B"
2,"Afghanistan",867,"Beef and Veal",141,"Food",1995,1995,130000,"B"
2,"Afghanistan",867,"Beef and Veal",141,"Food",1994,1994,113400,"B"
2,"Afghanistan",867,"Beef and Veal",141,"Food",1993,1993,97250,"B"
2,"Afghanistan",867,"Beef and Veal",141,"Food",1992,1992,86420,"B"
2,"Afghanistan",867,"Beef and Veal",141,"Food",1991,1991,86550,"B"
2,"Afghanistan",867,"Beef and Veal",141,"Food",1990,1990,86548,"B"
3,"Albania",866,"Cattle",11,"Initial Existence",2013,2013,468082,
3,"Albania",866,"Cattle",11,"Initial Existence",2012,2012,498018,
3,"Albania",866,"Cattle",11,"Initial Existence",2011,2011,492000,
3,"Albania",866,"Cattle",11,"Initial Existence",2010,2010,493000,
3,"Albania",866,"Cattle",11,"Initial Existence",2009,2009,494000,
3,"Albania",866,"Cattle",11,"Initial Existence",2008,2008,541000,
3,"Albania",866,"Cattle",11,"Initial Existence",2007,2007,577000,
3,"Albania",866,"Cattle",11,"Initial Existence",2006,2006,634000,
3,"Albania",866,"Cattle",11,"Initial Existence",2005,2005,655000,
3,"Albania",866,"Cattle",11,"Initial Existence",2004,2004,654000,
3,"Albania",866,"Cattle",11,"Initial Existence",2003,2003,684000,
3,"Albania",866,"Cattle",11,"Initial Existence",2002,2002,690000,
3,"Albania",866,"Cattle",11,"Initial Existence",2001,2001,708400,
3,"Albania",866,"Cattle",11,"Initial Existence",2000,2000,728000,
3,"Albania",866,"Cattle",31,"Actual Producing Factor",2013,2013,0,"M"
3,"Albania",866,"Cattle",31,"Actual Producing Factor",2012,2012,0,"M"
3,"Albania",866,"Cattle",31,"Actual Producing Factor",2011,2011,0,"M"
3,"Albania",866,"Cattle",31,"Actual Producing Factor",2010,2010,0,"M"
3,"Albania",866,"Cattle",31,"Actual Producing Factor",2009,2009,0,"M"
3,"Albania",866,"Cattle",31,"Actual Producing Factor",2008,2008,0,"M"
3,"Albania",866,"Cattle",31,"Actual Producing Factor",2007,2007,0,"M"
3,"Albania",866,"Cattle",31,"Actual Producing Factor",2006,2006,0,"M"
3,"Albania",866,"Cattle",31,"Actual Producing Factor",2005,2005,0,"M"
3,"Albania",866,"Cattle",31,"Actual Producing Factor",2004,2004,0,"M"
3,"Albania",866,"Cattle",31,"Actual Producing Factor",2003,2003,0,"M"
3,"Albania",866,"Cattle",31,"Actual Producing Factor",2002,2002,0,"M"
3,"Albania",866,"Cattle",31,"Actual Producing Factor",2001,2001,0,"M"
3,"Albania",866,"Cattle",31,"Actual Producing Factor",2000,2000,0,"M"
3,"Albania",866,"Cattle",131,"Reemployment Same Sector",2013,2013,375000,"F"
3,"Albania",866,"Cattle",131,"Reemployment Same Sector",2012,2012,376400,"F"
3,"Albania",866,"Cattle",131,"Reemployment Same Sector",2011,2011,374500,"F"
3,"Albania",866,"Cattle",131,"Reemployment Same Sector",2010,2010,370000,"F"
3,"Albania",866,"Cattle",131,"Reemployment Same Sector",2009,2009,354000,"F"
3,"Albania",866,"Cattle",131,"Reemployment Same Sector",2008,2008,360000,"F"
3,"Albania",866,"Cattle",131,"Reemployment Same Sector",2007,2007,440000,"F"
3,"Albania",866,"Cattle",131,"Reemployment Same Sector",2006,2006,420000,"F"
3,"Albania",866,"Cattle",131,"Reemployment Same Sector",2005,2005,355000,"F"
3,"Albania",866,"Cattle",131,"Reemployment Same Sector",2004,2004,355000,"F"
3,"Albania",866,"Cattle",131,"Reemployment Same Sector",2003,2003,360000,"F"
3,"Albania",866,"Cattle",131,"Reemployment Same Sector",2002,2002,357800,"F"
3,"Albania",866,"Cattle",131,"Reemployment Same Sector",2001,2001,336000,"F"
3,"Albania",866,"Cattle",131,"Reemployment Same Sector",2000,2000,340000,"F"
3,"Albania",867,"Beef and Veal",31,"Actual Producing Factor",2013,2013,375000,"C"
3,"Albania",867,"Beef and Veal",31,"Actual Producing Factor",2012,2012,376400,"C"
3,"Albania",867,"Beef and Veal",31,"Actual Producing Factor",2011,2011,374500,"C"
3,"Albania",867,"Beef and Veal",31,"Actual Producing Factor",2010,2010,370000,"C"
3,"Albania",867,"Beef and Veal",31,"Actual Producing Factor",2009,2009,354000,"C"
3,"Albania",867,"Beef and Veal",31,"Actual Producing Factor",2008,2008,360000,"C"
3,"Albania",867,"Beef and Veal",31,"Actual Producing Factor",2007,2007,440000,"C"
3,"Albania",867,"Beef and Veal",31,"Actual Producing Factor",2006,2006,420000,"C"
3,"Albania",867,"Beef and Veal",31,"Actual Producing Factor",2005,2005,355000,"C"
3,"Albania",867,"Beef and Veal",31,"Actual Producing Factor",2004,2004,355000,"C"
3,"Albania",867,"Beef and Veal",31,"Actual Producing Factor",2003,2003,360000,"C"
3,"Albania",867,"Beef and Veal",31,"Actual Producing Factor",2002,2002,357800,"C"
3,"Albania",867,"Beef and Veal",31,"Actual Producing Factor",2001,2001,336000,"C"
3,"Albania",867,"Beef and Veal",31,"Actual Producing Factor",2000,2000,340000,"C"
3,"Albania",867,"Beef and Veal",41,"Productivity Indicator",2013,2013,1098.66667,"C"
3,"Albania",867,"Beef and Veal",41,"Productivity Indicator",2012,2012,1099.89373,"C"
3,"Albania",867,"Beef and Veal",41,"Productivity Indicator",2011,2011,1100.13351,"C"
3,"Albania",867,"Beef and Veal",41,"Productivity Indicator",2010,2010,1102.7027,"C"
3,"Albania",867,"Beef and Veal",41,"Productivity Indicator",2009,2009,1101.69492,"C"
3,"Albania",867,"Beef and Veal",41,"Productivity Indicator",2008,2008,1100,"C"
3,"Albania",867,"Beef and Veal",41,"Productivity Indicator",2007,2007,1131.25,"C"
3,"Albania",867,"Beef and Veal",41,"Productivity Indicator",2006,2006,1158.35714,"C"
3,"Albania",867,"Beef and Veal",41,"Productivity Indicator",2005,2005,1149.29578,"C"
3,"Albania",867,"Beef and Veal",41,"Productivity Indicator",2004,2004,1115.49296,"C"
3,"Albania",867,"Beef and Veal",41,"Productivity Indicator",2003,2003,1111.11111,"C"
3,"Albania",867,"Beef and Veal",41,"Productivity Indicator",2002,2002,1050.86641,"C"
3,"Albania",867,"Beef and Veal",41,"Productivity Indicator",2001,2001,1050.59524,"C"
3,"Albania",867,"Beef and Veal",41,"Productivity Indicator",2000,2000,1055.88235,"C"
3,"Albania",867,"Beef and Veal",51,"Output",2013,2013,41200,"*"
3,"Albania",867,"Beef and Veal",51,"Output",2012,2012,41400,"*"
3,"Albania",867,"Beef and Veal",51,"Output",2011,2011,41200,"*"
3,"Albania",867,"Beef and Veal",51,"Output",2010,2010,40800,"*"
3,"Albania",867,"Beef and Veal",51,"Output",2009,2009,39000,"*"
3,"Albania",867,"Beef and Veal",51,"Output",2008,2008,39600,"*"
3,"Albania",867,"Beef and Veal",51,"Output",2007,2007,49775,
3,"Albania",867,"Beef and Veal",51,"Output",2006,2006,48651,
3,"Albania",867,"Beef and Veal",51,"Output",2005,2005,40800,
3,"Albania",867,"Beef and Veal",51,"Output",2004,2004,39600,"*"
3,"Albania",867,"Beef and Veal",51,"Output",2003,2003,40000,
3,"Albania",867,"Beef and Veal",51,"Output",2002,2002,37600,"*"
3,"Albania",867,"Beef and Veal",51,"Output",2001,2001,35300,"*"
3,"Albania",867,"Beef and Veal",51,"Output",2000,2000,35900,"*"
3,"Albania",867,"Beef and Veal",141,"Food",2013,2013,41506,"B"
3,"Albania",867,"Beef and Veal",141,"Food",2012,2012,41706,"B"
3,"Albania",867,"Beef and Veal",141,"Food",2011,2011,41506,"B"
3,"Albania",867,"Beef and Veal",141,"Food",2010,2010,40940,"B"
3,"Albania",867,"Beef and Veal",141,"Food",2009,2009,40378,"B"
3,"Albania",867,"Beef and Veal",141,"Food",2008,2008,39655,"B"
3,"Albania",867,"Beef and Veal",141,"Food",2007,2007,49961,"B"
3,"Albania",867,"Beef and Veal",141,"Food",2006,2006,48661,"B"
3,"Albania",867,"Beef and Veal",141,"Food",2005,2005,40895,"B"
3,"Albania",867,"Beef and Veal",141,"Food",2004,2004,39769,"B"
3,"Albania",867,"Beef and Veal",141,"Food",2003,2003,40213,"B"
3,"Albania",867,"Beef and Veal",141,"Food",2002,2002,37647,"B"
3,"Albania",867,"Beef and Veal",141,"Food",2001,2001,35336,"B"
3,"Albania",867,"Beef and Veal",141,"Food",2000,2000,36161,"B"
3,"Albania",867,"Beef and Veal",141,"Food",1999,1999,34297,"B"
3,"Albania",867,"Beef and Veal",141,"Food",1998,1998,33648,"B"
3,"Albania",867,"Beef and Veal",141,"Food",1997,1997,33163,"B"
3,"Albania",867,"Beef and Veal",141,"Food",1996,1996,35146,"B"
3,"Albania",867,"Beef and Veal",141,"Food",1995,1995,33800,"B"
3,"Albania",867,"Beef and Veal",141,"Food",1994,1994,32300,"B"
3,"Albania",867,"Beef and Veal",141,"Food",1993,1993,30300,"B"
3,"Albania",867,"Beef and Veal",141,"Food",1992,1992,39400,"B"
3,"Albania",867,"Beef and Veal",141,"Food",1991,1991,39100,"B"
3,"Albania",867,"Beef and Veal",141,"Food",1990,1990,23600,"B"
4,"Algeria",866,"Cattle",11,"Initial Existence",2013,2013,1909455,
4,"Algeria",866,"Cattle",11,"Initial Existence",2012,2012,1843930,
4,"Algeria",866,"Cattle",11,"Initial Existence",2011,2011,1790140,
4,"Algeria",866,"Cattle",11,"Initial Existence",2010,2010,1747700,
4,"Algeria",866,"Cattle",11,"Initial Existence",2009,2009,1716700,"*"
4,"Algeria",866,"Cattle",11,"Initial Existence",2008,2008,1640730,
4,"Algeria",866,"Cattle",11,"Initial Existence",2007,2007,1633810,
4,"Algeria",866,"Cattle",11,"Initial Existence",2006,2006,1607890,
4,"Algeria",866,"Cattle",11,"Initial Existence",2005,2005,1586100,
4,"Algeria",866,"Cattle",11,"Initial Existence",2004,2004,1613700,
4,"Algeria",866,"Cattle",11,"Initial Existence",2003,2003,1560545,
4,"Algeria",866,"Cattle",11,"Initial Existence",2002,2002,1572000,
4,"Algeria",866,"Cattle",11,"Initial Existence",2001,2001,1613027,
4,"Algeria",866,"Cattle",11,"Initial Existence",2000,2000,1595259,
4,"Algeria",866,"Cattle",31,"Actual Producing Factor",2013,2013,0,"M"
4,"Algeria",866,"Cattle",31,"Actual Producing Factor",2012,2012,0,"M"
4,"Algeria",866,"Cattle",31,"Actual Producing Factor",2011,2011,0,"M"
4,"Algeria",866,"Cattle",31,"Actual Producing Factor",2010,2010,0,"M"
4,"Algeria",866,"Cattle",31,"Actual Producing Factor",2009,2009,0,"M"
4,"Algeria",866,"Cattle",31,"Actual Producing Factor",2008,2008,0,"M"
4,"Algeria",866,"Cattle",31,"Actual Producing Factor",2007,2007,0,"M"
4,"Algeria",866,"Cattle",31,"Actual Producing Factor",2006,2006,0,"M"
4,"Algeria",866,"Cattle",31,"Actual Producing Factor",2005,2005,0,"M"
4,"Algeria",866,"Cattle",31,"Actual Producing Factor",2004,2004,0,"M"
4,"Algeria",866,"Cattle",31,"Actual Producing Factor",2003,2003,0,"M"
4,"Algeria",866,"Cattle",31,"Actual Producing Factor",2002,2002,0,"M"
4,"Algeria",866,"Cattle",31,"Actual Producing Factor",2001,2001,0,"M"
4,"Algeria",866,"Cattle",31,"Actual Producing Factor",2000,2000,0,"M"
4,"Algeria",866,"Cattle",131,"Reemployment Same Sector",2013,2013,760000,"F"
4,"Algeria",866,"Cattle",131,"Reemployment Same Sector",2012,2012,700000,"F"
4,"Algeria",866,"Cattle",131,"Reemployment Same Sector",2011,2011,700000,"F"
4,"Algeria",866,"Cattle",131,"Reemployment Same Sector",2010,2010,680000,"F"
4,"Algeria",866,"Cattle",131,"Reemployment Same Sector",2009,2009,670000,"F"
4,"Algeria",866,"Cattle",131,"Reemployment Same Sector",2008,2008,640000,"F"
4,"Algeria",866,"Cattle",131,"Reemployment Same Sector",2007,2007,630000,"F"
4,"Algeria",866,"Cattle",131,"Reemployment Same Sector",2006,2006,627000,"F"
4,"Algeria",866,"Cattle",131,"Reemployment Same Sector",2005,2005,620000,"F"
4,"Algeria",866,"Cattle",131,"Reemployment Same Sector",2004,2004,645000,"F"
4,"Algeria",866,"Cattle",131,"Reemployment Same Sector",2003,2003,621000,
4,"Algeria",866,"Cattle",131,"Reemployment Same Sector",2002,2002,600000,
4,"Algeria",866,"Cattle",131,"Reemployment Same Sector",2001,2001,573000,
4,"Algeria",866,"Cattle",131,"Reemployment Same Sector",2000,2000,670000,"F"
4,"Algeria",867,"Beef and Veal",31,"Actual Producing Factor",2013,2013,760000,"C"
4,"Algeria",867,"Beef and Veal",31,"Actual Producing Factor",2012,2012,700000,"C"
4,"Algeria",867,"Beef and Veal",31,"Actual Producing Factor",2011,2011,700000,"C"
4,"Algeria",867,"Beef and Veal",31,"Actual Producing Factor",2010,2010,680000,"C"
4,"Algeria",867,"Beef and Veal",31,"Actual Producing Factor",2009,2009,670000,"C"
4,"Algeria",867,"Beef and Veal",31,"Actual Producing Factor",2008,2008,640000,"C"
4,"Algeria",867,"Beef and Veal",31,"Actual Producing Factor",2007,2007,630000,"C"
4,"Algeria",867,"Beef and Veal",31,"Actual Producing Factor",2006,2006,627000,"C"
4,"Algeria",867,"Beef and Veal",31,"Actual Producing Factor",2005,2005,620000,"C"
4,"Algeria",867,"Beef and Veal",31,"Actual Producing Factor",2004,2004,645000,"C"
4,"Algeria",867,"Beef and Veal",31,"Actual Producing Factor",2003,2003,621000,"/"
4,"Algeria",867,"Beef and Veal",31,"Actual Producing Factor",2002,2002,600000,"/"
4,"Algeria",867,"Beef and Veal",31,"Actual Producing Factor",2001,2001,573000,"/"
4,"Algeria",867,"Beef and Veal",31,"Actual Producing Factor",2000,2000,670000,"C"
4,"Algeria",867,"Beef and Veal",41,"Productivity Indicator",2013,2013,1841.42105,"C"
4,"Algeria",867,"Beef and Veal",41,"Productivity Indicator",2012,2012,1938.2,"C"
4,"Algeria",867,"Beef and Veal",41,"Productivity Indicator",2011,2011,1791.22857,"C"
4,"Algeria",867,"Beef and Veal",41,"Productivity Indicator",2010,2010,1854.79412,"C"
4,"Algeria",867,"Beef and Veal",41,"Productivity Indicator",2009,2009,1947.76119,"C"
4,"Algeria",867,"Beef and Veal",41,"Productivity Indicator",2008,2008,1953.125,"C"
4,"Algeria",867,"Beef and Veal",41,"Productivity Indicator",2007,2007,1952.38095,"C"
4,"Algeria",867,"Beef and Veal",41,"Productivity Indicator",2006,2006,1945.77353,"C"
4,"Algeria",867,"Beef and Veal",41,"Productivity Indicator",2005,2005,1935.48387,"C"
4,"Algeria",867,"Beef and Veal",41,"Productivity Indicator",2004,2004,1937.9845,"C"
4,"Algeria",867,"Beef and Veal",41,"Productivity Indicator",2003,2003,1948.47022,"C"
4,"Algeria",867,"Beef and Veal",41,"Productivity Indicator",2002,2002,1933.33333,"C"
4,"Algeria",867,"Beef and Veal",41,"Productivity Indicator",2001,2001,1832.46073,"C"
4,"Algeria",867,"Beef and Veal",41,"Productivity Indicator",2000,2000,1979.10448,"C"
4,"Algeria",867,"Beef and Veal",51,"Output",2013,2013,139948,
4,"Algeria",867,"Beef and Veal",51,"Output",2012,2012,135674,
4,"Algeria",867,"Beef and Veal",51,"Output",2011,2011,125386,
4,"Algeria",867,"Beef and Veal",51,"Output",2010,2010,126126,
4,"Algeria",867,"Beef and Veal",51,"Output",2009,2009,130500,"F"
4,"Algeria",867,"Beef and Veal",51,"Output",2008,2008,125000,"F"
4,"Algeria",867,"Beef and Veal",51,"Output",2007,2007,123000,"F"
4,"Algeria",867,"Beef and Veal",51,"Output",2006,2006,122000,"F"
4,"Algeria",867,"Beef and Veal",51,"Output",2005,2005,120000,"F"
4,"Algeria",867,"Beef and Veal",51,"Output",2004,2004,125000,"*"
4,"Algeria",867,"Beef and Veal",51,"Output",2003,2003,121000,
4,"Algeria",867,"Beef and Veal",51,"Output",2002,2002,116000,"F"
4,"Algeria",867,"Beef and Veal",51,"Output",2001,2001,105000,
4,"Algeria",867,"Beef and Veal",51,"Output",2000,2000,132600,
4,"Algeria",867,"Beef and Veal",141,"Food",2013,2013,142795,"B"
4,"Algeria",867,"Beef and Veal",141,"Food",2012,2012,137485,"B"
4,"Algeria",867,"Beef and Veal",141,"Food",2011,2011,127358,"B"
4,"Algeria",867,"Beef and Veal",141,"Food",2010,2010,127542,"B"
4,"Algeria",867,"Beef and Veal",141,"Food",2009,2009,131391,"B"
4,"Algeria",867,"Beef and Veal",141,"Food",2008,2008,125506,"B"
4,"Algeria",867,"Beef and Veal",141,"Food",2007,2007,123016,"B"
4,"Algeria",867,"Beef and Veal",141,"Food",2006,2006,122228,"B"
4,"Algeria",867,"Beef and Veal",141,"Food",2005,2005,121490,"B"
4,"Algeria",867,"Beef and Veal",141,"Food",2004,2004,127050,"B"
4,"Algeria",867,"Beef and Veal",141,"Food",2003,2003,121022,"B"
4,"Algeria",867,"Beef and Veal",141,"Food",2002,2002,116191,"B"
4,"Algeria",867,"Beef and Veal",141,"Food",2001,2001,105149,"B"
4,"Algeria",867,"Beef and Veal",141,"Food",2000,2000,133666,"B"
4,"Algeria",867,"Beef and Veal",141,"Food",1999,1999,119055,"B"
4,"Algeria",867,"Beef and Veal",141,"Food",1998,1998,111018,"B"
4,"Algeria",867,"Beef and Veal",141,"Food",1997,1997,102004,"B"
4,"Algeria",867,"Beef and Veal",141,"Food",1996,1996,101865,"B"
4,"Algeria",867,"Beef and Veal",141,"Food",1995,1995,111193,"B"
4,"Algeria",867,"Beef and Veal",141,"Food",1994,1994,104399,"B"
4,"Algeria",867,"Beef and Veal",141,"Food",1993,1993,102253,"B"
4,"Algeria",867,"Beef and Veal",141,"Food",1992,1992,107409,"B"
4,"Algeria",867,"Beef and Veal",141,"Food",1991,1991,94270,"B"
4,"Algeria",867,"Beef and Veal",141,"Food",1990,1990,89500,"B"
5,"American Samoa",866,"Cattle",11,"Initial Existence",2013,2013,110,"T"
5,"American Samoa",866,"Cattle",11,"Initial Existence",2012,2012,110,"T"
5,"American Samoa",866,"Cattle",11,"Initial Existence",2011,2011,110,"T"
5,"American Samoa",866,"Cattle",11,"Initial Existence",2010,2010,110,"F"
5,"American Samoa",866,"Cattle",11,"Initial Existence",2009,2009,110,"F"
5,"American Samoa",866,"Cattle",11,"Initial Existence",2008,2008,110,"F"
5,"American Samoa",866,"Cattle",11,"Initial Existence",2007,2007,110,"F"
5,"American Samoa",866,"Cattle",11,"Initial Existence",2006,2006,100,"F"
5,"American Samoa",866,"Cattle",11,"Initial Existence",2005,2005,103,"F"
5,"American Samoa",866,"Cattle",11,"Initial Existence",2004,2004,103,"F"
5,"American Samoa",866,"Cattle",11,"Initial Existence",2003,2003,103,"F"
5,"American Samoa",866,"Cattle",11,"Initial Existence",2002,2002,103,"F"
5,"American Samoa",866,"Cattle",11,"Initial Existence",2001,2001,103,"F"
5,"American Samoa",866,"Cattle",11,"Initial Existence",2000,2000,103,"F"
5,"American Samoa",866,"Cattle",131,"Reemployment Same Sector",2013,2013,25,"T"
5,"American Samoa",866,"Cattle",131,"Reemployment Same Sector",2012,2012,25,"T"
5,"American Samoa",866,"Cattle",131,"Reemployment Same Sector",2011,2011,25,"T"
5,"American Samoa",866,"Cattle",131,"Reemployment Same Sector",2010,2010,25,"T"
5,"American Samoa",866,"Cattle",131,"Reemployment Same Sector",2009,2009,25,"F"
5,"American Samoa",866,"Cattle",131,"Reemployment Same Sector",2008,2008,25,"F"
5,"American Samoa",866,"Cattle",131,"Reemployment Same Sector",2007,2007,25,"F"
5,"American Samoa",866,"Cattle",131,"Reemployment Same Sector",2006,2006,20,"F"
5,"American Samoa",866,"Cattle",131,"Reemployment Same Sector",2005,2005,21,"F"
5,"American Samoa",866,"Cattle",131,"Reemployment Same Sector",2004,2004,21,"T"
5,"American Samoa",866,"Cattle",131,"Reemployment Same Sector",2003,2003,21,"F"
5,"American Samoa",866,"Cattle",131,"Reemployment Same Sector",2002,2002,21,"F"
5,"American Samoa",866,"Cattle",131,"Reemployment Same Sector",2001,2001,21,"F"
5,"American Samoa",866,"Cattle",131,"Reemployment Same Sector",2000,2000,21,"F"
5,"American Samoa",867,"Beef and Veal",31,"Actual Producing Factor",2013,2013,25,"C"
